mark,model,description,fuel,km,year,gearbox,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad,price
PORSCHE,Panamera,3.0 V6 560ch 4S E-Hybrid,Hybride R /,10 000 km,/ 2023 /,Automatique,0,1,1,0,1,0,1,9 899 €
MASERATI,Ghibli,2.0 L4 330ch GranSport,Essence M /,14 300 km,/ 2021 /,Automatique,0,1,1,1,1,1,1,9 899 €
DACIA,Sandero,1.0 TCe 90ch Stepway Essential,Essence /,19 408 km,/ 2023 /,Manuelle,1,1,1,1,0,0,0,9 899 €
DACIA,Duster,1.0 ECO-G 100ch Prestige 4x2 - E6U,Gpl /,93 179 km,/ 2020 /,Manuelle,1,0,1,1,1,1,1,9 899 €
PEUGEOT,5008,1.5 BlueHDi 130ch S&S GT Line EAT8,Diesel /,101 215 km,/ 2020 /,Automatique,0,1,1,1,1,0,1,9 899 €
NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta + Pack Design,Essence M /,37 048 km,/ 2022 /,Manuelle,0,1,1,1,1,1,1,9 899 €
DACIA,Sandero,1.5 Blue dCi 95ch Techroad,Diesel /,79 816 km,/ 2019 /,Manuelle,1,0,1,1,1,1,1,12 299 €
CITROEN,C3,PureTech 82ch Shine S&S E6.d-TEMP,Essence /,23 620 km,/ 2019 /,Manuelle,1,0,1,0,1,0,1,12 299 €
RENAULT,Zoe,E-Tech Zen charge normale R135 Achat Intégral - 21,Electrique /,55 000 km,/ 2021 /,Automatique,1,1,1,1,1,0,0,12 299 €
MERCEDES,Classe C,200 184ch AMG Line 9G Tronic,Essence M /,70 050 km,/ 2018 /,Automatique,0,1,1,1,1,1,1,12 299 €
DACIA,Sandero,0.9 TCe 90ch 15 ans Easy-R,Essence /,44 231 km,/ 2020 /,Automatique,1,0,1,1,1,1,1,12 299 €
